,id,side,coordinates(epsg25833),parking_value
553,76,right,"[[317225.7643449846, 5689144.328434944], [317224.1874541742, 5689114.369906686]]",parallel
554,76,left,"[[317244.4069642043, 5689113.305636797], [317242.8300733939, 5689083.347108539]]",parallel
555,76,right,"[[317224.1874541742, 5689114.369906686], [317222.6105633639, 5689084.411378428]]",parallel
556,76,left,"[[317242.8300733939, 5689083.347108539], [317241.2531825835, 5689053.38858028]]",parallel
557,76,right,"[[317222.6105633639, 5689084.411378428], [317221.0336725534, 5689054.45285017]]",parallel
558,76,left,"[[317241.25318258355, 5689053.388580281], [317239.7345550154, 5689024.536965055]]",parallel
559,76,right,"[[317221.0336725535, 5689054.45285017], [317219.51504498534, 5689025.601234945]]",parallel
560,78,left,"[[317631.0502709297, 5689200.098349828], [317626.60567092965, 5689183.262549827]]","TIE: parallel,diagonal/perpendicular"
561,78,right,"[[317605.43292907067, 5689206.861250173], [317600.9883290706, 5689190.025450172]]",diagonal/perpendicular
562,78,left,"[[317625.20281651284, 5689179.90578021], [317609.9435907205, 5689154.076416529]]","TIE: parallel,diagonal/perpendicular"
563,78,right,"[[317602.3911834879, 5689193.38221979], [317587.1319576956, 5689167.552856108]]",perpendicular
564,78,left,"[[317609.94359072094, 5689154.076416529], [317594.68436492846, 5689128.2470528465]]","TIE: parallel,diagonal/perpendicular"
565,78,right,"[[317587.1319576956, 5689167.552856107], [317571.8727319031, 5689141.723492425]]",perpendicular
566,78,left,"[[317594.6843649282, 5689128.2470528465], [317589.4961165127, 5689119.46488021]]",parallel
567,78,right,"[[317571.87273190316, 5689141.723492425], [317566.6844834876, 5689132.941319789]]",no car
568,79,left,"[[316534.65536800877, 5688456.238524638], [316504.8295556675, 5688459.466669336]]",diagonal/perpendicular
569,79,right,"[[316536.8190319919, 5688476.229275361], [316506.9932196506, 5688479.457420057]]",parallel
570,79,left,"[[316504.8295556675, 5688459.466669336], [316475.0037433262, 5688462.694814032]]",perpendicular
571,79,right,"[[316506.9932196506, 5688479.457420057], [316477.1674073093, 5688482.6855647545]]",parallel
572,79,left,"[[316475.0037433265, 5688462.694814032], [316445.1779309852, 5688465.922958728]]",perpendicular
573,79,right,"[[316477.167407309, 5688482.6855647545], [316447.3415949677, 5688485.9137094505]]",parallel
574,79,left,"[[316445.17793098494, 5688465.922958729], [316428.2490680089, 5688467.75522464]]",no car
575,79,right,"[[316447.341594968, 5688485.9137094505], [316430.41273199196, 5688487.745975362]]",diagonal/perpendicular
576,80,left,"[[316439.8040224122, 5688477.307301911], [316438.5353419736, 5688447.334139751]]",parallel
577,80,right,"[[316418.85777758854, 5688478.193898091], [316417.5890971499, 5688448.220735931]]",diagonal
578,80,left,"[[316438.5353419736, 5688447.334139751], [316437.26666153496, 5688417.360977589]]",parallel
579,80,right,"[[316417.5890971499, 5688448.220735931], [316416.32041671127, 5688418.247573769]]",diagonal
580,80,left,"[[316437.26666153496, 5688417.360977589], [316435.9979810963, 5688387.387815428]]",parallel
581,80,right,"[[316416.32041671127, 5688418.247573769], [316415.05173627264, 5688388.274411608]]",perpendicular
582,80,left,"[[316435.9979810963, 5688387.387815428], [316434.7293006577, 5688357.414653268]]",parallel
583,80,right,"[[316415.05173627264, 5688388.274411608], [316413.783055834, 5688358.301249447]]",perpendicular
584,80,left,"[[316434.7293006577, 5688357.414653269], [316433.46062021906, 5688327.4414911065]]",parallel
585,80,right,"[[316413.783055834, 5688358.301249448], [316412.5143753954, 5688328.328087286]]",perpendicular
586,80,left,"[[316433.46062021906, 5688327.4414911065], [316432.19193978043, 5688297.468328946]]",parallel
587,80,right,"[[316412.5143753954, 5688328.328087286], [316411.24569495674, 5688298.354925126]]",perpendicular
588,80,left,"[[316432.19193978043, 5688297.468328946], [316430.9667224115, 5688268.522001909]]",parallel
589,80,right,"[[316411.24569495674, 5688298.354925126], [316410.02047758776, 5688269.408598089]]",perpendicular
590,81,left,"[[316821.49883681256, 5688428.819157403], [316791.65591380914, 5688431.88509064]]",parallel
591,81,right,"[[316823.52516318765, 5688448.542842597], [316793.6822401842, 5688451.608775834]]",diagonal
592,81,left,"[[316791.65591380943, 5688431.88509064], [316761.812990806, 5688434.951023875]]",parallel
593,81,right,"[[316793.6822401839, 5688451.608775834], [316763.83931718045, 5688454.67470907]]",diagonal
594,81,left,"[[316761.8129908057, 5688434.951023875], [316731.9700678023, 5688438.016957112]]",parallel
595,81,right,"[[316763.83931718074, 5688454.67470907], [316733.9963941774, 5688457.740642307]]",diagonal
596,81,left,"[[316731.9700678023, 5688438.016957112], [316702.12714479887, 5688441.082890349]]",parallel
597,81,right,"[[316733.9963941774, 5688457.740642307], [316704.1534711739, 5688460.806575543]]",diagonal
598,81,left,"[[316702.12714479887, 5688441.082890349], [316672.28422179545, 5688444.148823585]]",parallel
599,81,right,"[[316704.1534711739, 5688460.806575543], [316674.3105481705, 5688463.872508781]]",diagonal
600,81,left,"[[316672.2842217955, 5688444.148823586], [316639.65063681273, 5688447.5014574025]]",parallel
601,81,right,"[[316674.3105481705, 5688463.872508781], [316641.67696318775, 5688467.225142596]]",diagonal
602,82,left,"[[316968.72773110983, 5688415.444686034], [316938.8847921084, 5688418.510463545]]","TIE: perpendicular,parallel"
603,82,right,"[[316970.3980688906, 5688431.704113967], [316940.5551298891, 5688434.769891478]]",diagonal
604,82,left,"[[316938.8847921081, 5688418.510463545], [316909.0418531066, 5688421.576241057]]",parallel
605,82,right,"[[316940.55512988934, 5688434.769891478], [316910.71219088783, 5688437.83566899]]",diagonal
606,82,left,"[[316909.0418531069, 5688421.576241057], [316879.1989141053, 5688424.642018569]]",parallel
607,82,right,"[[316910.7121908876, 5688437.83566899], [316880.86925188603, 5688440.901446501]]",diagonal
608,82,left,"[[316879.1989141051, 5688424.642018569], [316849.35597510356, 5688427.707796081]]",parallel
609,82,right,"[[316880.8692518863, 5688440.901446501], [316851.0263128848, 5688443.967224013]]",diagonal
610,82,left,"[[316849.3559751038, 5688427.707796082], [316821.6768311096, 5688430.551286034]]",parallel
611,82,right,"[[316851.0263128847, 5688443.967224014], [316823.3471688906, 5688446.810713966]]",diagonal
612,83,left,"[[316832.46942809277, 5688438.64315785], [316832.35541709745, 5688408.6433744775]]",perpendicular
613,83,right,"[[316812.5545719073, 5688438.71884215], [316812.440560912, 5688408.719058777]]",parallel
614,83,left,"[[316832.3554170975, 5688408.6433744775], [316832.2414061021, 5688378.6435911255]]",perpendicular
615,83,right,"[[316812.440560912, 5688408.719058777], [316812.3265499166, 5688378.719275425]]",parallel
616,83,left,"[[316832.2414061021, 5688378.643591126], [316832.1273951067, 5688348.6438077595]]",diagonal
617,83,right,"[[316812.32654991664, 5688378.719275425], [316812.2125389213, 5688348.719492058]]",parallel
618,83,left,"[[316832.1273951067, 5688348.643807759], [316832.0598280929, 5688330.86485785]]",diagonal
619,83,right,"[[316812.2125389212, 5688348.719492058], [316812.14497190743, 5688330.940542149]]",parallel
620,84,left,"[[317195.9935090051, 5688401.734910038], [317166.0339716339, 5688403.292510918]]",perpendicular
621,84,right,"[[317197.0374909944, 5688421.815289962], [317167.0779536231, 5688423.372890841]]",parallel
622,84,left,"[[317166.0339716339, 5688403.292510918], [317136.0744342626, 5688404.850111797]]",perpendicular
623,84,right,"[[317167.0779536231, 5688423.372890841], [317137.1184162518, 5688424.93049172]]",parallel
624,84,left,"[[317136.0744342626, 5688404.850111797], [317106.11489689123, 5688406.407712676]]",perpendicular
625,84,right,"[[317137.1184162518, 5688424.93049172], [317107.1588788805, 5688426.488092599]]",parallel
626,84,left,"[[317106.11489689123, 5688406.407712676], [317076.15535951994, 5688407.965313555]]",perpendicular
627,84,right,"[[317107.1588788805, 5688426.488092599], [317077.1993415092, 5688428.045693479]]",parallel
628,84,left,"[[317076.15535951994, 5688407.965313555], [317046.19582214864, 5688409.522914434]]",perpendicular
629,84,right,"[[317077.1993415092, 5688428.045693479], [317047.2398041379, 5688429.603294358]]",parallel
630,84,left,"[[317046.19582214835, 5688409.522914434], [317016.236284777, 5688411.080515313]]",perpendicular
631,84,right,"[[317047.2398041382, 5688429.603294357], [317017.2802667669, 5688431.160895238]]",parallel
632,84,left,"[[317016.2362847774, 5688411.080515315], [316986.27674740605, 5688412.638116193]]",perpendicular
633,84,right,"[[317017.2802667666, 5688431.160895238], [316987.3207293953, 5688432.718496117]]",parallel
634,84,left,"[[316986.276747406, 5688412.638116193], [316969.04090900556, 5688413.534210038]]",no car
635,84,right,"[[316987.3207293954, 5688432.718496117], [316970.08489099494, 5688433.614589962]]",no car
636,86,left,"[[317206.6004739586, 5688411.272301333], [317205.1066428092, 5688381.309516607]]","TIE: parallel,diagonal/perpendicular"
637,86,right,"[[317186.43052604096, 5688412.277898668], [317184.9366948916, 5688382.315113943]]",parallel
638,86,left,"[[317205.10664280923, 5688381.309516608], [317203.6128116598, 5688351.346731883]]","TIE: parallel,diagonal/perpendicular"
639,86,right,"[[317184.9366948916, 5688382.315113943], [317183.44286374224, 5688352.352329218]]",parallel
640,86,left,"[[317203.6128116598, 5688351.346731883], [317202.11898051045, 5688321.383947158]]",parallel
641,86,right,"[[317183.4428637422, 5688352.352329218], [317181.9490325929, 5688322.3895444935]]",parallel
642,86,left,"[[317202.11898051045, 5688321.383947158], [317201.22237395914, 5688303.400101332]]",parallel
643,86,right,"[[317181.9490325929, 5688322.3895444935], [317181.05242604157, 5688304.405698667]]",no car
644,88,left,"[[317551.45441225613, 5688392.730442589], [317549.9564522231, 5688362.767864]]",diagonal
645,88,right,"[[317532.5779877447, 5688393.67415741], [317531.0800277117, 5688363.711578821]]",parallel
646,88,left,"[[317549.9564522232, 5688362.767864], [317548.4584921901, 5688332.805285409]]",diagonal
647,88,right,"[[317531.0800277117, 5688363.711578821], [317529.5820676786, 5688333.74900023]]",parallel
648,88,left,"[[317548.45849219005, 5688332.805285409], [317546.9605321571, 5688302.842706821]]",diagonal
649,88,right,"[[317529.5820676786, 5688333.74900023], [317528.08410764567, 5688303.786421642]]",parallel
650,88,left,"[[317546.96053215716, 5688302.84270682], [317546.0886122555, 5688285.40234259]]",diagonal
651,88,right,"[[317528.08410764567, 5688303.786421641], [317527.21218774404, 5688286.34605741]]",parallel
652,89,left,"[[317557.61929063173, 5688499.235563663], [317556.0404789713, 5688469.277136574]]",diagonal
653,89,right,"[[317537.64450936904, 5688500.288236338], [317536.0656977087, 5688470.3298092475]]",parallel
654,89,left,"[[317556.0404789713, 5688469.277136574], [317554.4616673109, 5688439.318709482]]",diagonal
655,89,right,"[[317536.0656977087, 5688470.3298092475], [317534.4868860482, 5688440.371382157]]",parallel
656,89,left,"[[317554.4616673109, 5688439.318709482], [317552.88285565044, 5688409.360282392]]",diagonal
657,89,right,"[[317534.4868860482, 5688440.371382157], [317532.9080743878, 5688410.412955066]]",parallel
658,89,left,"[[317552.88285565044, 5688409.360282392], [317552.0035906317, 5688392.675963662]]",diagonal
659,89,right,"[[317532.9080743878, 5688410.412955067], [317532.028809369, 5688393.728636336]]",parallel
660,90,left,"[[317316.84551732213, 5688415.05055973], [317346.80448117387, 5688413.481966433]]",parallel
661,90,right,"[[317315.79508267745, 5688394.98804027], [317345.7540465291, 5688393.419446972]]",parallel
662,90,left,"[[317346.80448117387, 5688413.481966433], [317376.7634450256, 5688411.913373136]]",parallel
663,90,right,"[[317345.7540465291, 5688393.419446972], [317375.7130103809, 5688391.850853676]]",parallel
664,90,left,"[[317376.7634450253, 5688411.913373136], [317406.72240887705, 5688410.344779841]]",diagonal
665,90,right,"[[317375.71301038127, 5688391.850853677], [317405.67197423294, 5688390.28226038]]",parallel
666,90,left,"[[317406.72240887734, 5688410.34477984], [317436.6813727291, 5688408.776186543]]",diagonal
667,90,right,"[[317405.6719742326, 5688390.282260379], [317435.6309380844, 5688388.713667083]]",parallel
668,90,left,"[[317436.6813727291, 5688408.776186543], [317466.6403365808, 5688407.207593245]]",diagonal
669,90,right,"[[317435.6309380844, 5688388.713667083], [317465.58990193607, 5688387.1450737845]]",parallel
670,90,left,"[[317466.6403365808, 5688407.207593245], [317496.59930043254, 5688405.638999948]]",diagonal
671,90,right,"[[317465.58990193607, 5688387.1450737845], [317495.54886578786, 5688385.576480488]]",parallel
672,90,left,"[[317496.59930043225, 5688405.638999948], [317526.558264284, 5688404.070406653]]",diagonal
673,90,right,"[[317495.5488657882, 5688385.576480489], [317525.5078296399, 5688384.007887192]]",parallel
674,90,left,"[[317526.55826428445, 5688404.070406653], [317542.5414173229, 5688403.2335597295]]",diagonal
675,90,right,"[[317525.5078296395, 5688384.007887193], [317541.49098267796, 5688383.17104027]]",parallel
676,91,left,"[[317542.54406838934, 5688403.163323037], [317572.50203241344, 5688401.575748935]]",perpendicular
677,91,right,"[[317541.48833161156, 5688383.241276962], [317571.4462956356, 5688381.653702859]]",parallel
678,91,left,"[[317572.50203241344, 5688401.575748935], [317602.45999643754, 5688399.988174832]]",perpendicular
679,91,right,"[[317571.4462956356, 5688381.653702859], [317601.40425965976, 5688380.066128758]]",parallel
680,91,left,"[[317602.45999643765, 5688399.988174832], [317624.6599683891, 5688398.811723038]]",perpendicular
681,91,right,"[[317601.4042596596, 5688380.066128758], [317623.604231611, 5688378.889676963]]",parallel
682,92,left,"[[317635.19465175504, 5688495.015841978], [317633.5641868095, 5688465.060181677]]",no car
683,92,right,"[[317624.65774824424, 5688495.589358022], [317623.02728329867, 5688465.633697721]]",diagonal/perpendicular
684,92,left,"[[317633.5641868095, 5688465.060181677], [317631.9337218639, 5688435.104521375]]",no car
685,92,right,"[[317623.02728329867, 5688465.633697721], [317621.3968183531, 5688435.67803742]]",diagonal/perpendicular
686,92,left,"[[317631.9337218639, 5688435.104521375], [317630.3032569183, 5688405.148861074]]",no car
687,92,right,"[[317621.3968183531, 5688435.67803742], [317619.7663534075, 5688405.722377119]]",diagonal/perpendicular
688,92,left,"[[317630.3032569184, 5688405.148861074], [317629.4005517555, 5688388.563941978]]",no car
689,92,right,"[[317619.7663534075, 5688405.722377119], [317618.86364824465, 5688389.137458023]]",no car
690,93,left,"[[317629.46122628596, 5688388.551836689], [317627.7814325025, 5688358.598902062]]",no car
691,93,right,"[[317618.8029737141, 5688389.149563311], [317617.1231799306, 5688359.196628683]]",diagonal/perpendicular
692,93,left,"[[317627.78143250255, 5688358.5989020625], [317626.1016387191, 5688328.645967434]]",no car
693,93,right,"[[317617.12317993067, 5688359.196628684], [317615.44338614726, 5688329.243694056]]",diagonal/perpendicular
694,93,left,"[[317626.1016387191, 5688328.645967434], [317624.4218449356, 5688298.693032806]]",no car
695,93,right,"[[317615.44338614726, 5688329.243694056], [317613.7635923638, 5688299.2907594275]]","TIE: parallel,diagonal/perpendicular"
696,93,left,"[[317624.42184493557, 5688298.693032805], [317623.42862628546, 5688280.982636689]]",no car
697,93,right,"[[317613.76359236374, 5688299.290759427], [317612.77037371363, 5688281.580363311]]",no car
698,94,left,"[[316821.1190175087, 5688320.985084463], [316791.26541498944, 5688323.945222402]]",diagonal
699,94,right,"[[316823.0857824917, 5688340.820315537], [316793.2321799725, 5688343.780453477]]",parallel
700,94,left,"[[316791.26541498967, 5688323.945222402], [316761.4118124704, 5688326.905360341]]",diagonal
701,94,right,"[[316793.2321799721, 5688343.780453477], [316763.37857745285, 5688346.740591416]]",parallel
702,94,left,"[[316761.4118124702, 5688326.905360341], [316731.5582099509, 5688329.865498282]]",diagonal
703,94,right,"[[316763.37857745326, 5688346.740591416], [316733.52497493394, 5688349.700729355]]",parallel
704,94,left,"[[316731.55820995115, 5688329.86549828], [316701.70460743195, 5688332.82563622]]",diagonal
705,94,right,"[[316733.5249749336, 5688349.700729355], [316703.6713724144, 5688352.660867295]]",parallel
706,94,left,"[[316701.70460743166, 5688332.825636221], [316671.8510049124, 5688335.78577416]]",diagonal
707,94,right,"[[316703.6713724147, 5688352.660867295], [316673.8177698955, 5688355.621005235]]",parallel
708,94,left,"[[316671.8510049127, 5688335.78577416], [316641.99740239343, 5688338.745912099]]",diagonal
709,94,right,"[[316673.81776989513, 5688355.621005235], [316643.9641673759, 5688358.581143174]]",parallel
710,94,left,"[[316641.9974023934, 5688338.745912099], [316627.88141750835, 5688340.145584464]]",parallel
711,94,right,"[[316643.964167376, 5688358.581143174], [316629.8481824909, 5688359.980815537]]",parallel
712,97,left,"[[316962.4646765245, 5688306.847008353], [316932.61659109785, 5688309.862268932]]",diagonal
713,97,right,"[[316964.4399234755, 5688326.399991648], [316934.59183804883, 5688329.415252227]]",parallel
714,97,left,"[[316932.61659109755, 5688309.862268932], [316902.7685056709, 5688312.877529513]]",diagonal
715,97,right,"[[316934.5918380491, 5688329.415252227], [316904.74375262245, 5688332.430512806]]",parallel
716,97,left,"[[316902.7685056712, 5688312.877529513], [316872.9204202445, 5688315.892790091]]",diagonal
717,97,right,"[[316904.74375262216, 5688332.430512807], [316874.8956671955, 5688335.445773385]]",parallel
718,97,left,"[[316872.9204202442, 5688315.892790091], [316843.07233481755, 5688318.908050671]]",diagonal
719,97,right,"[[316874.8956671958, 5688335.445773385], [316845.0475817691, 5688338.461033966]]",parallel
720,97,left,"[[316843.0723348177, 5688318.908050671], [316821.1147765246, 5688321.126208352]]",diagonal
721,97,right,"[[316845.047581769, 5688338.461033966], [316823.0900234759, 5688340.679191647]]",parallel
722,98,left,"[[316832.01518189744, 5688331.041242843], [316832.4344264094, 5688301.044172418]]",perpendicular
723,98,right,"[[316812.1896181029, 5688330.764157156], [316812.60886261484, 5688300.767086733]]",parallel
724,98,left,"[[316832.4344264094, 5688301.044172418], [316832.85367092135, 5688271.047101994]]",perpendicular
725,98,right,"[[316812.60886261484, 5688300.767086733], [316813.0281071268, 5688270.770016309]]",parallel
726,98,left,"[[316832.85367092135, 5688271.047101994], [316833.2729154333, 5688241.050031569]]",diagonal
727,98,right,"[[316813.0281071268, 5688270.770016309], [316813.44735163875, 5688240.772945884]]",parallel
728,98,left,"[[316833.2729154333, 5688241.05003157], [316833.45058189734, 5688228.337942843]]",diagonal
729,98,right,"[[316813.4473516387, 5688240.772945884], [316813.6250181027, 5688228.060857158]]",parallel
730,99,left,"[[317190.58097178035, 5688293.943431508], [317160.6276830837, 5688295.616899839]]",parallel
731,99,right,"[[317191.6938282204, 5688313.8623684915], [317161.7405395238, 5688315.535836822]]",diagonal
732,99,left,"[[317160.6276830837, 5688295.616899839], [317130.67439438705, 5688297.29036817]]",parallel
733,99,right,"[[317161.7405395238, 5688315.535836822], [317131.7872508271, 5688317.209305153]]",diagonal
734,99,left,"[[317130.67439438705, 5688297.29036817], [317100.7211056904, 5688298.9638364995]]",parallel
735,99,right,"[[317131.7872508271, 5688317.209305153], [317101.8339621305, 5688318.882773484]]",diagonal
736,99,left,"[[317100.7211056907, 5688298.9638364995], [317070.76781699405, 5688300.63730483]]",parallel
737,99,right,"[[317101.8339621302, 5688318.882773484], [317071.8806734335, 5688320.556241814]]",diagonal
738,99,left,"[[317070.76781699376, 5688300.63730483], [317040.8145282971, 5688302.310773161]]",parallel
739,99,right,"[[317071.8806734338, 5688320.556241815], [317041.9273847372, 5688322.229710145]]",diagonal
740,99,left,"[[317040.8145282971, 5688302.310773161], [317010.86123960046, 5688303.984241492]]",parallel
741,99,right,"[[317041.9273847372, 5688322.229710145], [317011.97409604053, 5688323.903178476]]",diagonal
742,99,left,"[[317010.86123960046, 5688303.984241492], [316980.9079509038, 5688305.657709823]]",parallel
743,99,right,"[[317011.97409604053, 5688323.903178476], [316982.0208073439, 5688325.576646807]]",diagonal
744,99,left,"[[316980.90795090364, 5688305.657709821], [316962.8958717798, 5688306.664031508]]",no car
745,99,right,"[[316982.02080734394, 5688325.576646807], [316964.00872822007, 5688326.582968492]]",no car
746,101,left,"[[317201.0571133743, 5688303.424346824], [317199.6115153622, 5688273.459196293]]",parallel
747,101,right,"[[317181.2176866264, 5688304.381453174], [317179.77208861435, 5688274.416302643]]","TIE: parallel,diagonal/perpendicular"
748,101,left,"[[317199.6115153622, 5688273.459196293], [317198.16591735015, 5688243.494045761]]",parallel
749,101,right,"[[317179.77208861435, 5688274.416302643], [317178.3264906023, 5688244.451152111]]","TIE: parallel,diagonal/perpendicular"
750,101,left,"[[317198.16591735015, 5688243.494045761], [317196.7203193381, 5688213.52889523]]",parallel
751,101,right,"[[317178.3264906023, 5688244.451152111], [317176.8808925902, 5688214.48600158]]",parallel
752,101,left,"[[317196.72031933814, 5688213.52889523], [317196.1457133738, 5688201.618146825]]",no car
753,101,right,"[[317176.8808925902, 5688214.48600158], [317176.3062866259, 5688202.575253176]]",no car
754,102,left,"[[317191.6487347222, 5688314.022489568], [317221.6105099091, 5688312.508545167]]",diagonal
755,102,right,"[[317190.6260652784, 5688293.783310429], [317220.58784046525, 5688292.269366026]]",parallel
756,102,left,"[[317221.6105099091, 5688312.508545167], [317251.57228509587, 5688310.994600764]]",diagonal
757,102,right,"[[317220.58784046525, 5688292.269366026], [317250.54961565207, 5688290.7554216245]]",parallel
758,102,left,"[[317251.57228509587, 5688310.994600764], [317281.53406028275, 5688309.480656362]]",diagonal
759,102,right,"[[317250.54961565207, 5688290.7554216245], [317280.5113908389, 5688289.241477221]]",parallel
760,102,left,"[[317281.53406028287, 5688309.480656362], [317310.58393472165, 5688308.012789571]]",diagonal
761,102,right,"[[317280.5113908388, 5688289.241477223], [317309.56126527756, 5688287.773610432]]",parallel
762,105,left,"[[317310.6005254433, 5688307.845457724], [317340.55840646126, 5688306.256318047]]",parallel
763,105,right,"[[317309.5446745559, 5688287.940942278], [317339.5025555738, 5688286.351802601]]",diagonal
764,105,left,"[[317340.55840646126, 5688306.256318047], [317370.5162874792, 5688304.667178369]]",parallel
765,105,right,"[[317339.5025555738, 5688286.351802601], [317369.46043659176, 5688284.762662923]]",diagonal
766,105,left,"[[317370.5162874789, 5688304.667178369], [317400.47416849685, 5688303.0780386925]]",parallel
767,105,right,"[[317369.4604365921, 5688284.762662923], [317399.41831761, 5688283.173523246]]",parallel
768,105,left,"[[317400.47416849714, 5688303.0780386925], [317430.4320495151, 5688301.488899015]]",diagonal
769,105,right,"[[317399.41831760976, 5688283.173523247], [317429.3761986277, 5688281.58438357]]",parallel
770,105,left,"[[317430.4320495151, 5688301.488899015], [317460.389930533, 5688299.899759337]]",diagonal
771,105,right,"[[317429.3761986277, 5688281.58438357], [317459.33407964563, 5688279.995243892]]",parallel
772,105,left,"[[317460.389930533, 5688299.899759337], [317490.347811551, 5688298.31061966]]",diagonal
773,105,right,"[[317459.33407964563, 5688279.995243892], [317489.29196066357, 5688278.406104214]]",parallel
774,105,left,"[[317490.347811551, 5688298.31061966], [317520.30569256895, 5688296.721479982]]",diagonal
775,105,right,"[[317489.29196066357, 5688278.406104214], [317519.2498416815, 5688276.816964536]]",parallel
776,105,left,"[[317520.3056925685, 5688296.721479981], [317537.178325443, 5688295.826457722]]",diagonal
777,105,right,"[[317519.2498416818, 5688276.816964535], [317536.1224745563, 5688275.921942276]]",parallel
778,107,left,"[[317623.3965595036, 5688281.041360749], [317622.03792158916, 5688251.072141491]]",no car
779,107,right,"[[317612.8024404954, 5688281.521639251], [317611.443802581, 5688251.552419993]]","TIE: parallel,diagonal/perpendicular"
780,107,left,"[[317622.03792158916, 5688251.072141491], [317620.6792836747, 5688221.102922231]]",no car
781,107,right,"[[317611.443802581, 5688251.552419993], [317610.0851646665, 5688221.583200734]]",diagonal/perpendicular
782,107,left,"[[317620.6792836747, 5688221.102922231], [317619.32064576016, 5688191.133702972]]",no car
783,107,right,"[[317610.0851646665, 5688221.583200734], [317608.72652675206, 5688191.613981474]]",diagonal/perpendicular
784,107,left,"[[317619.3206457602, 5688191.133702973], [317618.75195950427, 5688178.589460749]]",no car
785,107,right,"[[317608.72652675206, 5688191.613981475], [317608.1578404961, 5688179.069739251]]",no car
786,109,left,"[[317196.0840078323, 5688201.333589375], [317193.76862793503, 5688171.4230725635]]","TIE: parallel,diagonal/perpendicular"
787,109,right,"[[317176.36799216736, 5688202.859810624], [317174.05261227005, 5688172.949293813]]",parallel
788,109,left,"[[317193.76862793503, 5688171.4230725635], [317191.4532480378, 5688141.512555752]]","TIE: parallel,diagonal/perpendicular"
789,109,right,"[[317174.05261227005, 5688172.949293813], [317171.7372323728, 5688143.038777]]",parallel
790,109,left,"[[317191.4532480377, 5688141.512555752], [317188.8453078326, 5688107.822689375]]",parallel
791,109,right,"[[317171.73723237286, 5688143.038777001], [317169.12929216766, 5688109.348910623]]",parallel
792,111,left,"[[316822.529069925, 5688218.3546944335], [316792.6853243642, 5688221.412610538]]",perpendicular
793,111,right,"[[316824.5465300751, 5688238.044105567], [316794.7027845143, 5688241.102021672]]",parallel
794,111,left,"[[316792.6853243642, 5688221.412610538], [316762.8415788034, 5688224.470526643]]",perpendicular
795,111,right,"[[316794.7027845143, 5688241.102021672], [316764.8590389535, 5688244.159937777]]",parallel
796,111,left,"[[316762.8415788034, 5688224.470526643], [316732.99783324264, 5688227.528442748]]",perpendicular
797,111,right,"[[316764.8590389535, 5688244.159937777], [316735.0152933927, 5688247.217853881]]",parallel
798,111,left,"[[316732.99783324264, 5688227.528442748], [316703.15408768185, 5688230.586358853]]",perpendicular
799,111,right,"[[316735.0152933927, 5688247.217853881], [316705.1715478319, 5688250.275769986]]",parallel
800,111,left,"[[316703.15408768185, 5688230.586358853], [316673.31034212105, 5688233.6442749575]]",perpendicular
801,111,right,"[[316705.1715478319, 5688250.275769986], [316675.3278022711, 5688253.333686091]]",parallel
802,111,left,"[[316673.31034212105, 5688233.6442749575], [316643.4665965602, 5688236.702191062]]",perpendicular
803,111,right,"[[316675.3278022711, 5688253.333686091], [316645.4840567103, 5688256.391602196]]",parallel
804,111,left,"[[316643.46659656044, 5688236.702191063], [316617.98156992486, 5688239.313494434]]",perpendicular
805,111,right,"[[316645.48405671027, 5688256.391602196], [316619.9990300747, 5688259.002905566]]",parallel
806,112,left,"[[316833.4602894522, 5688228.213867951], [316833.5040323123, 5688198.213899847]]",perpendicular
807,112,right,"[[316813.6153105479, 5688228.184932049], [316813.65905340796, 5688198.184963945]]",parallel
808,112,left,"[[316833.5040323123, 5688198.213899847], [316833.5477751724, 5688168.213931765]]",perpendicular
809,112,right,"[[316813.65905340796, 5688198.184963945], [316813.70279626804, 5688168.184995864]]",parallel
810,112,left,"[[316833.5477751724, 5688168.213931765], [316833.5915180325, 5688138.213963654]]",perpendicular
811,112,right,"[[316813.70279626804, 5688168.184995864], [316813.74653912813, 5688138.185027752]]",parallel
812,112,left,"[[316833.5915180325, 5688138.213963654], [316833.6321894517, 5688110.320467951]]",perpendicular
813,112,right,"[[316813.7465391282, 5688138.185027752], [316813.7872105474, 5688110.291532049]]",parallel
814,113,left,"[[316618.0503133299, 5688239.095759236], [316588.18035930034, 5688241.886072171]]",parallel
815,113,right,"[[316619.9302866696, 5688259.220640764], [316590.06033264, 5688262.010953698]]",diagonal
816,113,left,"[[316588.18035930034, 5688241.886072171], [316558.3104052708, 5688244.676385106]]",parallel
817,113,right,"[[316590.06033264, 5688262.010953698], [316560.19037861045, 5688264.801266633]]",diagonal
818,113,left,"[[316558.3104052708, 5688244.676385106], [316528.4404512412, 5688247.46669804]]",parallel
819,113,right,"[[316560.19037861045, 5688264.801266633], [316530.3204245809, 5688267.591579568]]",diagonal
820,113,left,"[[316528.4404512411, 5688247.466698039], [316513.61461333046, 5688248.8516592365]]",no car
821,113,right,"[[316530.32042458095, 5688267.591579568], [316515.49458667025, 5688268.976540764]]",diagonal
822,114,left,"[[316545.68665151304, 5688465.217329216], [316542.6373203276, 5688435.372705256]]",parallel
823,114,right,"[[316525.78774848767, 5688467.250470784], [316522.7384173022, 5688437.405846823]]",diagonal
824,114,left,"[[316542.6373203276, 5688435.372705256], [316539.5879891421, 5688405.528081295]]",parallel
