,id,side,coordinates(epsg25833),parking_value
63,10,right,"[[317402.00355340197, 5688884.453705275], [317431.95968534757, 5688882.831928824]]",parallel
64,10,left,"[[317433.0287063254, 5688902.578012465], [317462.984838271, 5688900.956236012]]",diagonal
65,10,right,"[[317431.9596853472, 5688882.831928823], [317461.9158172929, 5688881.210152372]]",parallel
66,10,left,"[[317462.9848382707, 5688900.956236012], [317492.9409702163, 5688899.334459561]]",perpendicular
67,10,right,"[[317461.91581729316, 5688881.210152372], [317491.87194923876, 5688879.58837592]]",parallel
68,10,left,"[[317492.9409702163, 5688899.334459561], [317522.8971021619, 5688897.71268311]]",perpendicular
69,10,right,"[[317491.87194923876, 5688879.58837592], [317521.8280811844, 5688877.96659947]]",parallel
70,10,left,"[[317522.8971021619, 5688897.71268311], [317552.8532341075, 5688896.090906658]]",perpendicular
71,10,right,"[[317521.8280811844, 5688877.96659947], [317551.78421313, 5688876.344823019]]",parallel
72,10,left,"[[317552.85323410766, 5688896.090906659], [317570.7844104891, 5688895.12014182]]",perpendicular
73,10,right,"[[317551.78421312984, 5688876.344823018], [317569.71538951126, 5688875.374058179]]",parallel
74,11,left,"[[316587.0373272293, 5688948.682694001], [316557.1895027084, 5688951.700536173]]",perpendicular
75,11,right,"[[316588.3558727715, 5688961.723705998], [316558.5080482506, 5688964.741548169]]",parallel
76,11,left,"[[316557.18950270856, 5688951.700536173], [316527.34167818766, 5688954.718378343]]",perpendicular
77,11,right,"[[316558.50804825034, 5688964.741548169], [316528.66022372944, 5688967.75939034]]",parallel
78,11,left,"[[316527.3416781875, 5688954.718378343], [316497.4938536666, 5688957.736220515]]",perpendicular
79,11,right,"[[316528.66022372973, 5688967.759390341], [316498.8123992088, 5688970.777232513]]",parallel
80,11,left,"[[316497.4938536666, 5688957.736220515], [316467.6460291457, 5688960.754062686]]",perpendicular
81,11,right,"[[316498.8123992088, 5688970.777232513], [316468.96457468794, 5688973.795074685]]",parallel
82,11,left,"[[316467.646029146, 5688960.754062686], [316450.89722722914, 5688962.447494002]]",perpendicular
83,11,right,"[[316468.9645746876, 5688973.795074684], [316452.21577277075, 5688975.488505999]]",parallel
84,12,left,"[[316462.129779979, 5688968.419450336], [316460.57544799236, 5688938.459743195]]",perpendicular
85,12,right,"[[316440.98322002083, 5688969.516549664], [316439.42888803413, 5688939.556842522]]",parallel
86,12,left,"[[316460.57544799236, 5688938.459743195], [316459.069479979, 5688909.432250335]]",perpendicular
87,12,right,"[[316439.42888803413, 5688939.556842523], [316437.9229200208, 5688910.529349662]]",parallel
88,13,left,"[[316546.4727084685, 5688564.497655309], [316516.6284734522, 5688567.550790794]]",perpendicular
89,13,right,"[[316548.51729153184, 5688584.483344691], [316518.6730565155, 5688587.536480176]]",parallel
90,13,left,"[[316516.6284734524, 5688567.550790794], [316486.7842384361, 5688570.603926279]]",perpendicular
91,13,right,"[[316518.6730565151, 5688587.536480175], [316488.8288214988, 5688590.58961566]]",parallel
